end,value
3-Sep-05,318814
10-Sep-05,342242
17-Sep-05,288929
24-Sep-05,310622
1-Oct-05,375574
8-Oct-05,299551
15-Oct-05,300919
22-Oct-05,291312
29-Oct-05,337029
5-Nov-05,280987
12-Nov-05,365675
19-Nov-05,288601
26-Nov-05,441502
3-Dec-05,389332
10-Dec-05,356615
17-Dec-05,429783
24-Dec-05,472927
31-Dec-05,552101
7-Jan-06,435572
14-Jan-06,314233
21-Jan-06,314674
28-Jan-06,317726
4-Feb-06,306674
11-Feb-06,266336
18-Feb-06,269546
25-Feb-06,298273
4-Mar-06,291388
11-Mar-06,266162
18-Mar-06,262645
25-Mar-06,251050
1-Apr-06,310589
8-Apr-06,265382
15-Apr-06,288379
22-Apr-06,276308
29-Apr-06,261177
6-May-06,260222
13-May-06,272174
20-May-06,288884
27-May-06,257027
3-Jun-06,281978
10-Jun-06,273497
17-Jun-06,283743
24-Jun-06,300861
1-Jul-06,413826
8-Jul-06,371869
15-Jul-06,285275
22-Jul-06,259253
29-Jul-06,270401
5-Aug-06,251929
12-Aug-06,248054
19-Aug-06,247101
26-Aug-06,255435
2-Sep-06,236592
9-Sep-06,262935
16-Sep-06,257950
23-Sep-06,246499
30-Sep-06,303372
7-Oct-06,268885
14-Oct-06,287357
21-Oct-06,297948
28-Oct-06,323520
4-Nov-06,283082
11-Nov-06,364315
18-Nov-06,323300
25-Nov-06,444911
2-Dec-06,381324
9-Dec-06,359042
16-Dec-06,421523
23-Dec-06,498878
30-Dec-06,505075
6-Jan-07,501034
13-Jan-07,362439
20-Jan-07,355691
27-Jan-07,335334
3-Feb-07,359187
10-Feb-07,302744
17-Feb-07,296157
24-Feb-07,316965
3-Mar-07,295458
10-Mar-07,273806
17-Mar-07,270763
24-Mar-07,265256
31-Mar-07,325691
7-Apr-07,313487
14-Apr-07,301058
21-Apr-07,264360
28-Apr-07,271389
5-May-07,255370
12-May-07,267106
19-May-07,269833
26-May-07,259344
2-Jun-07,297202
9-Jun-07,286976
16-Jun-07,289042
23-Jun-07,297171
30-Jun-07,412949
7-Jul-07,379233
14-Jul-07,294230
21-Jul-07,256991
